Company ID,Name,Website,Round,Amount (USD M),Year,Month,Investors,News link,Standardised round label
4133982,Virtual Reality Simulation Training with Data Analytics,http://vraisimulation.com,SERIES A,5.5,2025,2,Beringea,https://tech.eu/2025/02/27/vrai-secures-5m-series-a-for-dual-use-defence-tech/,
3883200,Relay Technologies,https://relaytech.co,SERIES A,35,2025,2,Project A;Plural;Prologis Ventures,https://siliconcanals.com/uks-relay-raises-33-4m/,
1707440,KOKO Networks,http://kokonetworks.com,SERIES A,8,2025,1,Founder Collective;Norrsken VC;Base Capital;Hesabu Capital;Giant Ventures,https://techmoran.com/2025/01/27/kapu-raises-funding-to-expand-low-cost-e-commerce-in-africa/,
2432389,Forbes Hungary,http://forbes.hu,SEED,2.5,2025,1,EBRD Venture Capital;Credo Ventures;e2vc,https://therecursive.com/axoflow-investments-seed-round-ebrd-balazs-scheidler-interview/,
970754,Nano4Imaging,https://www.nano4imaging.com,SEED,8.91,2024,12,,,
913117,Picterus,http://www.picterus.com,SEED,2.64,2024,12,EIC Fund,,
1449847,Players 1st,http://players1st.golf,LATE VC,1.43,2024,9,Scale Capital,,
1833726,Zefort,https://zefort.com/,LATE VC,1.1,2024,9,,,
3339404,Propelle,https://propelle.io,SEED,1.2,2024,9,,,
3616044,Delicity,http://delicity.com,SEED,1.012,2024,9,,,
1945155,Aphex,http://aphex.co,SEED,1.98,2024,9,,,
5335672,Crosstown H2R,http://crosstown-h2r.com,SEED,2.75,2024,9,Climate Insiders,,
5561814,Linq,http://linqapp.io,SEED,1.155,2024,9,FORM Ventures;Calm/Storm Ventures,,
2912956,MOJO-CX,https://mojo.cx,SERIES A,0,2024,9,,,
2355397,CAD.42,http://cad42.com,SERIES A,1.65,2024,9,Socadif,,
5025214,Bonx,https://bonx.tech,SEED,1.21,2024,9,Lakestar;Dynamo VC;Prequel Ventures,,
1824732,GPDQ,https://www.gpdq.co.uk/,LATE VC,1.584,2024,9,IW Capital,,
1714966,AVILOO,http://www.aviloo.com,SERIES A,1.375,2024,8,Raiffeisen KMU Invest;INVEST AG,,
1844439,MySky,https://mysky.com/,LATE VC,2.249342,2024,8,,,
4236352,Emova,http://emova.me,SEED,0,2024,8,,,
3490121,Cormind,http://cormind.com,SEED,1.7,2024,8,,,
4729422,Clu,https://www.getaclu.io/,SEED,0,2024,8,Remarkable,,
5565171,Esmark Finch,https://esmarkfinch.ie,LATE VC,2.2,2024,8,,,
4702405,SimpleX Chat,http://simplex.chat,SEED,1.3,2024,8,Asymmetric Capital Partners,,
5565455,Kleo,https://www.kleocloud.com/,SEED,1.98,2024,8,,,
2014860,Flexa Careers,https://flexa.careers,SEED,0.792,2024,8,,,
5565409,Graph Therapeutics,https://graphtx.com,SEED,0,2024,8,Merantix,,
5070290,DC Connected Car,https://www.dc-connected.de/,SEED,2.31,2024,8,Atlas Ventures;Network VC;APX;APX Ventures;VENPACE;Atlas Ventures,,
1872578,Evernest,https://www.evernest.com/,SERIES A,0,2024,8,FJ Labs,,
4671942,PerfectTed,http://perfectted.com,SEED,1.32,2024,8,,,
1760522,Blue Shock Race,http://www.blueshockrace.com,SEED,0.55,2024,8,,,
