Company,Reported_Amount,Extracted_Amount,Amount_Difference,Amount_Difference_Percentage,Reported_Round,Extracted_Round,Round_Match,Confidence_Score,Verification_Status,Matches,Mismatches,News_URL,Analysis_Date
Virtual Reality Simulation Training with Data Analytics,5.5,5.0,0.5,9.090909090909092,SERIES A,Series A,True,1.0,verified,"amount, round_type",,https://tech.eu/2025/02/27/vrai-secures-5m-series-a-for-dual-use-defence-tech/,2025-03-11 21:37:28
Relay Technologies,35.0,33.4,1.6000000000000014,4.571428571428576,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://siliconcanals.com/uks-relay-raises-33-4m/,2025-03-11 21:37:28
KOKO Networks,8.0,,,,SERIES A,Not specified,False,0.0,unverified,,round_type,https://techmoran.com/2025/01/27/kapu-raises-funding-to-expand-low-cost-e-commerce-in-africa/,2025-03-11 21:37:28
Forbes Hungary,2.5,7.0,4.5,180.0,SEED,Seed,True,0.5,unverified,round_type,amount,https://therecursive.com/axoflow-investments-seed-round-ebrd-balazs-scheidler-interview/,2025-03-11 21:37:28
Godmode,2.6,,,,SEED,Not mentioned,False,0.0,unverified,,round_type,https://webrazzi.com/2024/08/12/girisimlerin-satis-sureclerini-ile-hizlandiran-girisim-godmode/,2025-03-11 21:37:28
Liquidium,2.8,0.275,2.525,90.17857142857143,SEED,Seed,True,0.5,unverified,round_type,amount,https://liquidium.fi/zh/blog/liquidium-closes-2-75m-seed-round-to-revolutionize-bitcoin-finance,2025-03-11 21:37:28
Latitudo 40,0.792,0.72,0.07200000000000006,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.spaceconomy360.it/software-e-applicazioni/immagini-satellitari-e-intelligenza-artificiale-fondi-per-latitudo-40/,2025-03-11 21:37:28
ImmuneAge Bio,2.0,,,,SEED,,False,0.0,unverified,,,https://www.prnewswire.com/news-releases/immuneage-bio-launches-to-rejuvenate-the-immune-system-targeting-bone-marrow-stem-cells-302195874.html,2025-03-11 21:37:28
MetaWealth,2.2,2.0,0.20000000000000018,9.090909090909099,SEED,Pre-A series,False,0.5,unverified,amount,round_type,https://www.romania-insider.com/metawealth-valuation-july-2024,2025-03-11 21:37:28
Starting Finance,2.75,2.5,0.25,9.090909090909092,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://italiaeconomy.it/starting-finance-chiude-perazione-da-25-milioni/,2025-03-11 21:37:28
XOOB,1.6,,,,SEED,,False,0.0,unverified,,,https://foresightnews.pro/news/detail/48646,2025-03-11 21:37:28
SidcoDX,1.98,1.8,0.17999999999999994,9.090909090909088,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.eu-startups.com/2024/07/london-based-contech-obralink-raises-e1-8-million-to-automate-and-speed-up-the-construction-process/,2025-03-11 21:37:28
Disruptive Industries,3.8,,,,SEED,,False,0.0,unverified,,,https://6degrees.vc/portfolio/#disruptive-industries,2025-03-11 21:37:28
Haltia AI,2.1,,,,SEED,,False,0.0,unverified,,,https://www.zawya.com/en/press-release/companies-news/haltiaai-celebrates-first-anniversary-with-launch-of-asimov-io25b4ne,2025-03-11 21:37:28
Meditect,0.0,4.3,4.3,,SEED,Not specified,False,0.0,unverified,,round_type,https://empowerafrica.com/launch-africa-ventures-injects-4-3-million-into-16-african-startups/,2025-03-11 21:37:28
Settle Payments,0.0,,,,SEED,,False,0.0,unverified,,,https://techmoonshot.com/2024/06/02/africas-new-accelerator-accelerate-africa-selects-its-inaugural-class-of-10-promising-ventures/,2025-03-11 21:37:28
Taskbase,0.0,,,,SEED,Acquisition,False,0.0,unverified,,round_type,https://www.bloomhaus.vc/story/promising-edtech-taskbase-now-part-of-bloomhaus-portfolio,2025-03-11 21:37:28
Taskbase,0.0,,,,SEED,Acquisition,False,0.0,unverified,,round_type,https://www.bloomhaus.vc/story/promising-edtech-taskbase-now-part-of-bloomhaus-portfolio,2025-03-11 21:37:28
Taskbase,1.3,,,,SEED,Not specified in the provided news article,False,0.0,unverified,,round_type,https://www.startupticker.ch/index.php/en/news/taskbase-frisches-geld-fuer-expansion,2025-03-11 21:37:28
Taskbase,1.3,,,,SEED,Not specified in the provided news article,False,0.0,unverified,,round_type,https://www.startupticker.ch/index.php/en/news/taskbase-frisches-geld-fuer-expansion,2025-03-11 21:37:28
Sundew,0.0,,,,SERIES B,,False,0.0,unverified,,,https://www.linkedin.com/posts/sundew-aps_financing-trend-biodiversity-activity-7208738571434770433-zYdd/,2025-03-11 21:37:28
Ubooker,0.775,,,,SEED,,False,0.0,unverified,,,https://www.voguebusiness.com/story/fashion/fashions-freelancers-are-under-pressure-whats-the-solution?uID=6881d9de9ab9cf69efd298367e3fcb70e6827a82b57024bab42f357e655f282d&utm_campaign=VB_NEXT_GEN_290524&utm_source=newsletter&utm_brand=vb&utm_mailing=VB_NEXT_GEN_290524&utm_medium=email&utm_term=VB_NextGen,2025-03-11 21:37:28
MiiCare,0.0,,,,SEED,,False,0.0,unverified,,,https://marketingreport.one/news/plug-and-play-alberta-announces-72-startups-for-its-fifth-cohort.html,2025-03-11 21:37:28
Belú Travel,2.0,,,,SEED,Seed,True,1.0,verified,round_type,,https://stack.angellist.com/fundraising/76a815db-6a5c-4189-8f22-633b179e7218/register,2025-03-11 21:37:28
Flexa Careers,0.0,,,,SEED,,False,0.0,unverified,,,https://haatch.com/portfolio/flexa/,2025-03-11 21:37:28
Auddy,0.0,,,,SEED,,False,0.0,unverified,,,https://haatch.com/portfolio/auddy/,2025-03-11 21:37:28
Tranched,0.5,,,,SEED,Spring 2024 Cohort,False,0.0,unverified,,round_type,https://a16zcrypto.com/posts/article/crypto-startup-accelerator-csx-spring-2024-cohort/,2025-03-11 21:37:28
Bloop,0.935,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://monarquefunds.com/new-investment-closed-with-a-tech-company/,2025-03-11 21:37:28
Tonstarter,0.0,8.0,8.0,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.newswire.com/news/yolo-investments-backs-ton-in-widespread-8m-investment-22279275,2025-03-11 21:37:28
Fanton,0.0,8.0,8.0,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.newswire.com/news/yolo-investments-backs-ton-in-widespread-8m-investment-22279275,2025-03-11 21:37:28
Fuse Vectors,0.0,,,,SEED,,False,0.0,unverified,,,https://www.linkedin.com/posts/fuse-vectors_hello-world-we-cannot-think-of-a-better-activity-7157730628543631360-mePd/?utm_source=share&utm_medium=member_desktop,2025-03-11 21:37:28
Trigify,0.0,,,,SEED,,False,0.0,unverified,,,https://haatch.com/portfolio/trigify/,2025-03-11 21:37:28
Zen Educate,0.0,,,,SERIES B,,False,0.0,unverified,,,https://www.fjlabs.com/portfolio?*=Zen+Educate,2025-03-11 21:37:28
FAAREN,0.0,,,,SERIES A,,False,0.0,unverified,,,https://www.autoflotte.de/nachrichten/fuhrpark/auto-abos-branchenpionier-investiert-in-faaren-3484512,2025-03-11 21:37:28
DC Connected,0.0,,,,SEED,,False,0.0,unverified,,,https://network.vc/portfolio/,2025-03-11 21:37:28
DC Connected Car,0.0,,,,SEED,,False,0.0,unverified,,,https://network.vc/portfolio/,2025-03-11 21:37:28
Neurovirt,0.0,,,,SEED,,False,0.0,unverified,,,https://therecursive.com/neurovirt-the-greek-founded-vr-rehabilitation-software-that-helps-stroke-survivors/,2025-03-11 21:37:28
