Company,Reported_Amount,Extracted_Amount,Reported_Round,Extracted_Round,Extracted_Date,News_URL,Analysis_Date
Virtual Reality Simulation Training with Data Analytics,5.5,,SERIES A,,,https://tech.eu/2025/02/27/vrai-secures-5m-series-a-for-dual-use-defence-tech/,2025-03-11 21:43:17
Relay Technologies,35.0,,SERIES A,,,https://siliconcanals.com/uks-relay-raises-33-4m/,2025-03-11 21:43:20
KOKO Networks,8.0,,SERIES A,other,2025,https://techmoran.com/2025/01/27/kapu-raises-funding-to-expand-low-cost-e-commerce-in-africa/,2025-03-11 21:43:22
Forbes Hungary,2.5,,SEED,,,https://therecursive.com/axoflow-investments-seed-round-ebrd-balazs-scheidler-interview/,2025-03-11 21:43:24
Godmode,2.6,,SEED,,,https://webrazzi.com/2024/08/12/girisimlerin-satis-sureclerini-ile-hizlandiran-girisim-godmode/,2025-03-11 21:43:25
Liquidium,2.8,0.25,SEED,seed,"July 18, 2024",https://liquidium.fi/zh/blog/liquidium-closes-2-75m-seed-round-to-revolutionize-bitcoin-finance,2025-03-11 21:43:27
Latitudo 40,0.792,,SEED,,,https://www.spaceconomy360.it/software-e-applicazioni/immagini-satellitari-e-intelligenza-artificiale-fondi-per-latitudo-40/,2025-03-11 21:43:28
ImmuneAge Bio,2.0,,SEED,,,https://www.prnewswire.com/news-releases/immuneage-bio-launches-to-rejuvenate-the-immune-system-targeting-bone-marrow-stem-cells-302195874.html,2025-03-11 21:43:35
MetaWealth,2.2,,SEED,,,https://www.romania-insider.com/metawealth-valuation-july-2024,2025-03-11 21:43:36
Starting Finance,2.75,2.5,EARLY VC,other,2025,https://italiaeconomy.it/starting-finance-chiude-perazione-da-25-milioni/,2025-03-11 21:43:38
XOOB,1.6,,SEED,,,https://foresightnews.pro/news/detail/48646,2025-03-11 21:43:40
SidcoDX,1.98,,SEED,,,https://www.eu-startups.com/2024/07/london-based-contech-obralink-raises-e1-8-million-to-automate-and-speed-up-the-construction-process/,2025-03-11 21:43:42
Disruptive Industries,3.8,,SEED,,,https://6degrees.vc/portfolio/#disruptive-industries,2025-03-11 21:43:44
Haltia AI,2.1,,SEED,,,https://www.zawya.com/en/press-release/companies-news/haltiaai-celebrates-first-anniversary-with-launch-of-asimov-io25b4ne,2025-03-11 21:43:45
Meditect,0.0,,SEED,,,https://empowerafrica.com/launch-africa-ventures-injects-4-3-million-into-16-african-startups/,2025-03-11 21:43:47
Settle Payments,0.0,,SEED,,,https://techmoonshot.com/2024/06/02/africas-new-accelerator-accelerate-africa-selects-its-inaugural-class-of-10-promising-ventures/,2025-03-11 21:43:51
Taskbase,0.0,,SEED,other,"May 13, 2024",https://www.bloomhaus.vc/story/promising-edtech-taskbase-now-part-of-bloomhaus-portfolio,2025-03-11 21:44:02
Sundew,0.0,,SERIES B,,,https://www.linkedin.com/posts/sundew-aps_financing-trend-biodiversity-activity-7208738571434770433-zYdd/,2025-03-11 21:44:05
Ubooker,0.775,,SEED,,,https://www.voguebusiness.com/story/fashion/fashions-freelancers-are-under-pressure-whats-the-solution?uID=6881d9de9ab9cf69efd298367e3fcb70e6827a82b57024bab42f357e655f282d&utm_campaign=VB_NEXT_GEN_290524&utm_source=newsletter&utm_brand=vb&utm_mailing=VB_NEXT_GEN_290524&utm_medium=email&utm_term=VB_NextGen,2025-03-11 21:44:07
MiiCare,0.0,,SEED,,,https://marketingreport.one/news/plug-and-play-alberta-announces-72-startups-for-its-fifth-cohort.html,2025-03-11 21:44:09
Belú Travel,2.0,,SEED,,,https://stack.angellist.com/fundraising/76a815db-6a5c-4189-8f22-633b179e7218/register,2025-03-11 21:44:12
Flexa Careers,0.0,,SEED,,,https://haatch.com/portfolio/flexa/,2025-03-11 21:44:14
Auddy,0.0,,SEED,,,https://haatch.com/portfolio/auddy/,2025-03-11 21:44:16
Tranched,0.5,,SEED,,,https://a16zcrypto.com/posts/article/crypto-startup-accelerator-csx-spring-2024-cohort/,2025-03-11 21:44:17
Bloop,0.935,,SEED,other,"June 6, 2024",https://monarquefunds.com/new-investment-closed-with-a-tech-company/,2025-03-11 21:44:19
Tonstarter,0.0,,SEED,,,https://www.newswire.com/news/yolo-investments-backs-ton-in-widespread-8m-investment-22279275,2025-03-11 21:44:20
Fanton,0.0,,SEED,,,https://www.newswire.com/news/yolo-investments-backs-ton-in-widespread-8m-investment-22279275,2025-03-11 21:44:21
Fuse Vectors,0.0,,SEED,,,https://www.linkedin.com/posts/fuse-vectors_hello-world-we-cannot-think-of-a-better-activity-7157730628543631360-mePd/?utm_source=share&utm_medium=member_desktop,2025-03-11 21:44:23
Trigify,0.0,,SEED,,,https://haatch.com/portfolio/trigify/,2025-03-11 21:44:25
Zen Educate,0.0,,SERIES B,,,https://www.fjlabs.com/portfolio?*=Zen+Educate,2025-03-11 21:44:26
FAAREN,0.0,,SERIES A,,,https://www.autoflotte.de/nachrichten/fuhrpark/auto-abos-branchenpionier-investiert-in-faaren-3484512,2025-03-11 21:44:29
DC Connected,0.0,,SEED,,,https://network.vc/portfolio/,2025-03-11 21:44:30
DC Connected Car,0.0,,SEED,,,https://network.vc/portfolio/,2025-03-11 21:44:32
Neurovirt,0.0,,SEED,,,https://therecursive.com/neurovirt-the-greek-founded-vr-rehabilitation-software-that-helps-stroke-survivors/,2025-03-11 21:44:33
BIOVIT,0.329208,,SEED,,,https://sfccapital.com/portfolio,2025-03-11 21:44:36
NoPalm Ingredients,0.0,,SEED,,,https://www.gaapvc.com/participants,2025-03-11 21:44:37
Ucaneo,0.0,,SEED,,,https://www.granthamfoundation.org/investing/,2025-03-11 21:44:38
Madmonq,0.0,,SEED,,,https://www.soulmatesventures.com/case/madmonq/,2025-03-11 21:44:42
Folks Finance,0.0,,SEED,,,https://majinx.io/portfolio/,2025-03-11 21:44:44
JustParent,1.584,,SEED,,,https://www.thesaasnews.com/news/harriet-raises-1-4-million-in-pre-seed-round,2025-03-11 21:44:45
1Control srl,1.1,1.0,EARLY VC,seed,2025,https://bebeez.it/venture-capital/1control-incassa-round-da-un-mln-euro-guidato-da-cdp-venture-capital-sgr/,2025-03-11 21:44:49
Footbar,3.3,601.0,EARLY VC,other,2023,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2023/,2025-03-11 21:44:50
LeaseTeq,7.333334,,SERIES A,,,https://www.startupticker.ch/en/news/leaseteq-raises-chf8-million-to-digitize-leasing,2025-03-11 21:44:52
DentalPro,1.953552,130.0,LATE VC,other,2025,https://gadgetonus.com/hot-news/150067.html,2025-03-11 21:44:56
RTI Blockchain,2.75,,SEED,,,https://siliconcanals.com/crowdfunding/rti-blockchain-raises-2-5m/,2025-03-11 21:44:58
Keepz,1.8,,SEED,,,https://forbes.ge/en/skillwill-and-keepz-head-to-london-tech-week/,2025-03-11 21:45:01
Zeely,0.0,,SEED,,,https://network.vc/portfolio/,2025-03-11 21:45:02
Kindred,4.0,,SERIES A,,,https://timesofindia.indiatimes.com/city/chennai/among-global-giants-of-turbines-passion-drives-their-local-dream/articleshow/102067464.cms,2025-03-11 21:45:04
EHOSS,1.1,,SEED,,,https://www.eu-startups.com/2023/05/10-slovakian-startups-to-keep-an-eye-on-in-2023-and-beyond/,2025-03-11 21:45:05
TLDraw,2.0,2.0,SEED,other,2023,https://tldraw.substack.com/p/tldraw-raised-another-2m,2025-03-11 21:45:07
Proxisense,1.32,,SERIES A,,,https://parkwalkadvisors.com/portfolio/proxisense/,2025-03-11 21:45:12
ELEXIR,2.86,2.6,SEED,seed,"November 28, 2023",https://www.veecle.io/news/2023-11-28-seed/,2025-03-11 21:45:14
Pandobac,0.32626,,SEED,,,https://www.processalimentaire.com/emballage/pandobac-leve-1-5-million-d-euros-pour-accelerer-son-developpement,2025-03-11 21:45:15
Term Stucture Lab,4.3,,SEED,,,https://www.newswire.ca/news-releases/term-structure-secured-an-initial-funding-of-usd-4-25-million-in-a-series-seed-fundraising-round-with-cumberland-drw-leading-the-investment-848362654.html,2025-03-11 21:45:19
Mettle,3.3,,SEED,,,https://www.msn.com/en-gb/money/other/bear-grylls-backed-mental-health-app-shows-mettle-with-25m-raise/ar-AA1ksKdm,2025-03-11 21:45:20
Uzaje,12.1,,SERIES B,,,https://www.maddyness.com/2023/11/17/maddymoney-175-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:45:21
Skynet Technology,16.5,,EARLY VC,,,https://legalcommunity.it/russo-de-rosa-con-fondo-italiano-dinvestimento-per-loperazione-skynet/,2025-03-11 21:45:25
Deepsense.ai,0.748,,SEED,,,https://www.eu-startups.com/2023/11/warsaw-based-holi-raises-e680k-pre-seed-to-spearhead-an-holistic-approach-to-metabolic-health/,2025-03-11 21:45:26
Killwatt,4.4,,EARLY VC,,,https://www.angelone.in/blog/tvs-motor-e-mobility-expansion-a-closer-look,2025-03-11 21:45:28
WELMO.,0.91707,,SEED,,,https://infonet.fr/actualite/levees-de-fonds/financement-welmo-agence-en-ligne/,2025-03-11 21:45:30
Smarter Diagnostics,0.72,,SEED,,,https://www.linkedin.com/posts/pawellipkowski_so-sunfish-partners-has-invested-in-smarter-activity-6981352730858532864-f0MQ/?trk=public_profile_like_view,2025-03-11 21:45:32
Maad,0.0,,SEED,,,https://www.venturesplatform.com/portfolio,2025-03-11 21:45:34
Avataris,1.2,,SEED,,,https://fastercapital.com/news/based-in-austria-fintech-avataris-is-raising-1m-with-fastercapital.html,2025-03-11 21:45:35
Momint,1.3,,SEED,,,https://afrikanheroes.com/2023/10/12/south-african-digital-asset-platform-momint-attracts-1-25m-in-investor-support/,2025-03-11 21:45:40
Rad Propulsion,0.0,,SEED,,,https://techeast.com/uk-based-robotics-ai-and-automation-companies-to-benefit-from-british-robotics-scale-up-fund-deployment/,2025-03-11 21:45:42
BladeBUG,0.0,,SEED,,,https://techeast.com/uk-based-robotics-ai-and-automation-companies-to-benefit-from-british-robotics-scale-up-fund-deployment/,2025-03-11 21:45:44
OxDrive,3.08,,SEED,,,https://labsoflatvia.com/en/news/ox-drive-attracts-e2-8-million-to-expand-fleet-of-electric-cars,2025-03-11 21:45:46
X-BOLT Orthopedics,3.5,,EARLY VC,,,https://www.businesspost.ie/tech/x-bolt-orthopaedics-secures-3-5m-from-backers/,2025-03-11 21:45:47
Adverttu,3.96,,SERIES A,,,https://bdaily.co.uk/articles/2023/10/24/media-agency-raises-3m-to-revolutionise-ooh-advertising-with-novel-concept,2025-03-11 21:45:49
BrandShield,3.4,,EARLY VC,,,https://www.webwire.com/ViewPressRel.asp?aId=313014,2025-03-11 21:45:50
Tribo Games,0.0,,SEED,other,2023,https://medium.com/@Tribo_Games/tribo-games-secures-investment-and-partners-with-merit-circle-7be729eee174,2025-03-11 21:45:52
F-Reg,2.2,,EARLY VC,,,https://www.maddyness.com/2023/10/13/maddymoney-1357-millions-deuros-leves-cette-semaine-par-les-startups-francaises/,2025-03-11 21:45:53
Intouch,1.65,1.5,EARLY VC,other,2025,https://www.independent.ie/business/irish/irish-retail-media-tech-firm-intouch-raises-15m-for-global-growth-plan/a1323859492.html,2025-03-11 21:45:54
Narravero,2.2,,EARLY VC,,,https://www.deutsche-startups.de/2023/10/04/dealmonitor-kranus-health-happyhotel/,2025-03-11 21:45:58
Ixcys,2.75,1.0,EARLY VC,other,2023,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-septembre-2023/,2025-03-11 21:46:03
Inoqo,0.0,,SEED,,,https://www.deutsche-startups.de/2023/10/06/msh-kauft-german-autolabs-gutefrage-net-uebernimmt-motor-talk-ptc-kauft-pure-systems/,2025-03-11 21:46:06
Advanced Commerce,0.0,,SEED,,,https://haatch.com/portfolio/advanced-commerce/,2025-03-11 21:46:08
Konfir Uk Ltd,2.64,,SEED,,,https://loveventures.co.uk/why-we-invested-in-konfir/,2025-03-11 21:46:10
Mindgard Ltd,3.96,,SEED,,,https://www.lancaster.ac.uk/news/lancaster-university-spinout-mindgard-ltd-raises-3m-in-seed-funding,2025-03-11 21:46:11
Akiba Digital,0.0,,SEED,,,https://www.av.vc/portfolio,2025-03-11 21:46:13
Honest Burgers,3.19,,SEED,,,https://www.restaurantonline.co.uk/Article/2023/10/11/honest-burgers-smashes-crowdfunding-target,2025-03-11 21:46:16
Kelda Showers,2.904,,SERIES A,,,https://www.keldashowers.com/company-news/kelda-showers-secures-over-2-2-million-in-funding/,2025-03-11 21:46:18
PeopleSpheres,4.73,,LATE VC,,,https://app.tudigo.co/equity/peoplespheres?utm_campaign=GS+-+Investir_Investissement&utm_term=peoplespheres&utm_medium=ppc&utm_source=adwords&hsa_grp=154142416758&hsa_ver=3&hsa_src=g&hsa_acc=8253627618&hsa_tgt=kwd-1021576234751&hsa_mt=p&hsa_net=adwords&hsa_cam=20181160311&hsa_ad=673355931098&hsa_kw=peoplespheres&gad_source=1,2025-03-11 21:46:20
Avantgarde,5.5,,SERIES A,,,https://thefintechtimes.com/hub71-welcomes-23-startups-as-part-of-13th-cohort-and-strengthens-climatetech-focus/,2025-03-11 21:46:21
Timeline,13.2,,SERIES B,,,https://bdaily.co.uk/articles/2023/10/03/north-east-executives-celebrate-double-milestone-as-london-fintech-raises-10m,2025-03-11 21:46:25
Evertwine,1.2,,SEED,,,https://www.globenewswire.com/news-release/2023/09/11/2741121/0/en/Introducing-the-new-and-improved-Evertwine-revamped-and-refueled.html,2025-03-11 21:46:26
